,Station_Index,Position_X,Position_Y,Position_Z,Distance,AP0_RSS(dBm)
0,1,0.707106781,0.707106781,0,1,-25
1,2,0.809016994,0.587785252,0,1,-25
2,3,0.777817459,0.777817459,0,1.1,-26
3,4,0.889918694,0.646563778,0,1.1,-26
4,5,0.848528137,0.848528137,0,1.2,-27
5,6,0.970820393,0.705342303,0,1.2,-27
6,7,0.919238816,0.919238816,0,1.3,-28
7,8,1.051722093,0.764120828,0,1.3,-28
8,9,0.989949494,0.989949494,0,1.4,-30
9,10,1.132623792,0.822899353,0,1.4,-30
10,11,1.060660172,1.060660172,0,1.5,-31
11,12,1.213525492,0.881677878,0,1.5,-31
12,13,1.13137085,1.13137085,0,1.6,-32
13,14,1.294427191,0.940456404,0,1.6,-32
14,15,1.202081528,1.202081528,0,1.7,-33
15,16,1.37532889,0.999234929,0,1.7,-33
16,17,1.343502884,1.343502884,0,1.9,-34
17,18,1.537132289,1.116791979,0,1.9,-34
18,19,1.414213562,1.414213562,0,2,-35
19,20,1.618033989,1.175570505,0,2,-35
20,21,1.48492424,1.48492424,0,2.1,-36
21,22,1.698935688,1.23434903,0,2.1,-36
22,23,1.626345597,1.626345597,0,2.3,-37
23,24,1.860739087,1.35190608,0,2.3,-37
24,25,1.697056275,1.697056275,0,2.4,-38
25,26,1.941640786,1.410684606,0,2.4,-38
26,27,1.838477631,1.838477631,0,2.6,-39
27,28,2.103444185,1.528241656,0,2.6,-39
28,29,1.909188309,1.909188309,0,2.7,-40
29,30,2.184345885,1.587020181,0,2.7,-40
30,31,2.050609665,2.050609665,0,2.9,-41
31,32,2.346149284,1.704577232,0,2.9,-41
32,33,2.192031022,2.192031022,0,3.1,-42
33,34,2.507952683,1.822134282,0,3.1,-42
34,35,2.333452378,2.333452378,0,3.3,-43
35,36,2.669756081,1.939691333,0,3.3,-43
36,37,2.474873734,2.474873734,0,3.5,-44
37,38,2.83155948,2.057248383,0,3.5,-44
38,39,2.687005769,2.687005769,0,3.8,-45
39,40,3.074264579,2.233583959,0,3.8,-45
40,41,2.828427125,2.828427125,0,4,-46
41,42,3.236067977,2.351141009,0,4,-46
42,43,3.040559159,3.040559159,0,4.3,-47
43,44,3.478773076,2.527476585,0,4.3,-47
44,45,3.252691193,3.252691193,0,4.6,-48
45,46,3.721478174,2.703812161,0,4.6,-48
46,47,3.464823228,3.464823228,0,4.9,-49
47,48,3.964183272,2.880147736,0,4.9,-49
48,49,3.676955262,3.676955262,0,5.2,-50
49,50,4.206888371,3.056483312,0,5.2,-50
50,51,3.959797975,3.959797975,0,5.6,-51
51,52,4.530495168,3.291597413,0,5.6,-51
52,53,4.242640687,4.242640687,0,6,-52
53,54,4.854101966,3.526711514,0,6,-52
54,55,4.5254834,4.5254834,0,6.4,-53
55,56,5.177708764,3.761825615,0,6.4,-53
56,57,4.808326112,4.808326112,0,6.8,-54
57,58,5.501315562,3.996939716,0,6.8,-54
58,59,5.091168825,5.091168825,0,7.2,-55
59,60,5.824922359,4.232053817,0,7.2,-55
60,61,5.444722215,5.444722215,0,7.7,-56
61,62,6.229430857,4.525946443,0,7.7,-56
62,63,5.868986284,5.868986284,0,8.3,-57
63,64,6.714841053,4.878617594,0,8.3,-57
64,65,6.222539674,6.222539674,0,8.8,-58
65,66,7.11934955,5.17251022,0,8.8,-58
66,67,6.646803743,6.646803743,0,9.4,-59
67,68,7.604759747,5.525181372,0,9.4,-59
68,69,7.071067812,7.071067812,0,10,-60
69,70,8.090169944,5.877852523,0,10,-60
70,71,7.566042559,7.566042559,0,10.7,-61
71,72,8.65648184,6.2893022,0,10.7,-61
72,73,8.131727984,8.131727984,0,11.5,-62
73,74,9.303695435,6.759530401,0,11.5,-62
74,75,8.62670273,8.62670273,0,12.2,-63
75,76,9.870007331,7.170980078,0,12.2,-63
76,77,9.263098834,9.263098834,0,13.1,-64
77,78,10.59812263,7.699986805,0,13.1,-64
78,79,9.828784258,9.828784258,0,13.9,-65
79,80,11.24533622,8.170215007,0,13.9,-65
80,81,10.53589104,10.53589104,0,14.9,-66
81,82,12.05435322,8.758000259,0,14.9,-66
82,83,11.24299782,11.24299782,0,15.9,-67
83,84,12.86337021,9.345785511,0,15.9,-67
84,85,12.02081528,12.02081528,0,17,-68
85,86,13.7532889,9.992349289,0,17,-68
86,87,13.43502884,13.43502884,0,19,-69
87,88,15.37132289,11.16791979,0,19,-69
